"","MSOA","residents","annual_income","NIC","ITEMS_SUM","ITEMS_per_capita","prescriptions_per_capita","prescriptions","NIC_per_capita","avg_generic_ratio","min_generic_ratio","max_generic_ratio","practices","residents_per_practice"
"1","E02000002",6775,29640,52689.64,6564,0.969,0.196,1325,7.777,0.59,0.573616018845701,0.607142857142857,2,3387
"2","E02000003",10045,36400,154055.68,16620,1.655,0.275,2762,15.337,0.567,0.521791767554479,0.596707818930041,3,3348
"3","E02000005",8562,34840,45901.88,6710,0.784,0.119,1022,5.361,0.602,0.601761252446184,0.601761252446184,1,8562
"4","E02000008",11569,31200,304069.66,38964,3.368,0.435,5032,26.283,0.545,0.50761421319797,0.568816169393648,4,2892
"5","E02000009",8395,32240,108079.54,13649,1.626,0.242,2029,12.874,0.635,0.574940523394132,0.6953125,2,4197
"6","E02000010",8615,31720,65847.2400000001,7492,0.87,0.138,1186,7.643,0.531,0.531197301854975,0.531197301854975,1,8615
"7","E02000011",6187,35360,74752.4199999999,9143,1.478,0.279,1727,12.082,0.559,0.552479815455594,0.566279069767442,2,3093
"8","E02000012",9888,38480,160864.61,19006,1.922,0.249,2460,16.269,0.506,0.440543601359003,0.572046109510086,2,4944
"9","E02000013",8402,32240,82352.31,10674,1.27,0.274,2304,9.802,0.588,0.520990312163617,0.651041666666667,3,2800
"10","E02000014",9402,32760,59196.61,7791,0.829,0.12,1128,6.296,0.543,0.542553191489362,0.542553191489362,1,9402
"11","E02000015",7563,29640,49288.24,6709,0.887,0.165,1251,6.517,0.613,0.601384767556874,0.625,2,3781
"12","E02000016",7676,32240,80737.8,10053,1.31,0.227,1740,10.518,0.593,0.572400388726919,0.613220815752461,2,3838
"13","E02000017",8498,37960,38057.05,4532,0.533,0.103,872,4.478,0.534,0.534403669724771,0.534403669724771,1,8498
"14","E02000019",8276,34840,138869.41,19649,2.374,0.273,2263,16.78,0.562,0.49475753604194,0.629579375848033,2,4138
"15","E02000020",9276,31720,103857.98,14242,1.535,0.216,2004,11.196,0.604,0.588235294117647,0.620289855072464,2,4638
"16","E02000021",7904,35360,107260.37,12698,1.607,0.315,2488,13.57,0.519,0.504918032786885,0.529896907216495,3,2634
"17","E02000023",6482,30680,56408.47,8218,1.268,0.161,1045,8.702,0.618,0.618181818181818,0.618181818181818,1,6482
"18","E02000024",10156,53560,82729.67,8468,0.834,0.196,1991,8.146,0.544,0.5,0.571428571428571,3,3385
"19","E02000025",7956,45760,87975.5800000001,8500,1.068,0.155,1235,11.058,0.606,0.606477732793522,0.606477732793522,1,7956
"20","E02000028",6166,49400,44503.59,4160,0.675,0.192,1182,7.218,0.568,0.556122448979592,0.580808080808081,2,3083
"21","E02000029",8517,45240,171421.74,16736,1.965,0.414,3526,20.127,0.614,0.566634707574305,0.656213704994193,4,2129
"22","E02000031",7294,49920,117468.85,12198,1.672,0.209,1528,16.105,0.537,0.536649214659686,0.536649214659686,1,7294
"23","E02000033",8537,41600,74473.58,8372,0.981,0.222,1899,8.724,0.626,0.613849765258216,0.635211267605634,3,2845
"24","E02000034",8508,42640,118072.07,11279,1.326,0.182,1549,13.878,0.538,0.537766300839251,0.537766300839251,1,8508
"25","E02000035",7965,45760,75217.99,6724,0.844,0.153,1220,9.444,0.596,0.595901639344262,0.595901639344262,1,7965
"26","E02000036",10743,42120,74261.08,8567,0.797,0.162,1736,6.913,0.643,0.598440545808967,0.687323943661972,2,5371
"27","E02000037",9741,45760,98394.1000000002,11125,1.142,0.143,1396,10.101,0.574,0.57378223495702,0.57378223495702,1,9741
"28","E02000038",10514,46800,79388.4700000001,7357,0.7,0.169,1780,7.551,0.57,0.538022813688213,0.601648351648352,2,5257
"29","E02000041",8811,41080,236007.21,20614,2.34,0.362,3186,26.786,0.535,0.485838779956427,0.583703703703704,2,4405
"30","E02000042",10639,43680,259508.24,23654,2.223,0.322,3427,24.392,0.601,0.514434180138568,0.76,3,3546
"31","E02000043",7696,60320,113604.8,10497,1.364,0.203,1566,14.762,0.545,0.544699872286079,0.544699872286079,1,7696
"32","E02000045",10237,41600,75740.46,10240,1,0.143,1462,7.399,0.516,0.516415868673051,0.516415868673051,1,10237
"33","E02000046",7063,50440,109949.84,10965,1.552,0.359,2534,15.567,0.6,0.553935860058309,0.658346333853354,4,1765
"34","E02000047",11373,34840,204395.38,25340,2.228,0.262,2984,17.972,0.67,0.544565217391304,0.888888888888889,5,2274
"35","E02000048",9817,52520,55767.83,6180,0.63,0.117,1147,5.681,0.562,0.562336530078466,0.562336530078466,1,9817
"36","E02000051",8647,54080,96744.1900000001,9547,1.104,0.237,2053,11.188,0.6,0.579724409448819,0.620057859209257,2,4323
"37","E02000052",9698,49400,99755.56,10316,1.064,0.205,1989,10.286,0.594,0.56015037593985,0.627027027027027,2,4849
"38","E02000053",8697,37960,33452.44,3640,0.419,0.099,858,3.846,0.638,0.637529137529138,0.637529137529138,1,8697
"39","E02000054",7206,46280,119651.48,12194,1.692,0.295,2125,16.604,0.585,0.562225475841874,0.60737812911726,2,3603
"40","E02000055",11130,40560,85965.2200000001,9565,0.859,0.154,1719,7.724,0.655,0.582056892778993,0.727011494252874,2,5565
"41","E02000057",7484,44200,33387.98,3560,0.476,0.146,1093,4.461,0.648,0.640831758034026,0.654255319148936,2,3742
"42","E02000058",10220,60320,67586.16,7023,0.687,0.116,1186,6.613,0.61,0.610455311973018,0.610455311973018,1,10220
"43","E02000060",10920,47840,48719.34,4668,0.427,0.099,1081,4.461,0.535,0.534690101757632,0.534690101757632,1,10920
"44","E02000061",8013,57720,31807.53,2833,0.354,0.111,890,3.969,0.603,0.603370786516854,0.603370786516854,1,8013
"45","E02000063",6971,42120,99357.4400000001,9105,1.306,0.199,1387,14.253,0.55,0.550108147080029,0.550108147080029,1,6971
"46","E02000064",6248,39520,63211.93,6473,1.036,0.192,1201,10.117,0.577,0.577019150707744,0.577019150707744,1,6248
"47","E02000067",8750,35360,76155.8999999999,9355,1.069,0.137,1200,8.704,0.491,0.490833333333333,0.490833333333333,1,8750
"48","E02000068",7388,37440,28052.24,4513,0.611,0.104,767,3.797,0.553,0.552803129074316,0.552803129074316,1,7388
"49","E02000071",7300,39000,23529.66,2792,0.382,0.092,674,3.223,0.604,0.603857566765579,0.603857566765579,1,7300
"50","E02000072",11734,33800,79662.27,8436,0.719,0.096,1129,6.789,0.499,0.49867139061116,0.49867139061116,1,11734
"51","E02000075",7948,40560,103778.53,11013,1.386,0.264,2095,13.057,0.57,0.255813953488372,0.95,4,1987
"52","E02000077",7823,38480,122204.2,14038,1.794,0.196,1535,15.621,0.49,0.489902280130293,0.489902280130293,1,7823
"53","E02000078",7665,42640,56289.22,5671,0.74,0.129,986,7.344,0.538,0.537525354969574,0.537525354969574,1,7665
"54","E02000079",7865,39000,277546.060000001,29519,3.753,0.42,3304,35.289,0.502,0.476541554959786,0.526490066225166,2,3932
"55","E02000080",9430,38480,220283.13,24077,2.553,0.291,2743,23.36,0.494,0.455680399500624,0.531989482909728,2,4715
